14D,20190219,0.37,0.38,0.37,0.37,126102
14D,20190219,0.25,0.25,0.25,0.25,10000
3DP,20190219,0.046,0.046,0.046,0.046,10869
3PL,20190219,1.105,1.13,1.1,1.13,45647
4CE,20190219,0.01,0.01,0.01,0.01,99010
4DS,20190219,0.059,0.059,0.058,0.058,613515
5GN,20190219,0.58,0.58,0.58,0.58,30000
88E,20190219,0.019,0.019,0.018,0.018,13491808
8CO,20190219,0.038,0.04,0.038,0.04,278127
8EC,20190219,0.69,0.69,0.685,0.685,23262
8IH,20190219,0.086,0.086,0.086,0.086,3028
